time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.00107789182e-08,-2.24641291539e-08,10.0033432464,6.28315483686,8.00029924362e-05,0.0,-6.61178331033e-06,-2.30816787892e-06,0.111436418934,-0.00154345785209,0.00387521271809,0.0,440.5397711186481,440.8599966164809,440.39111795729553,440.26346819939425
0.12000000000000001,-3.28207213581e-06,-1.20286791568e-06,10.0153835282,6.2826456362,0.000292513453995,0.0,-0.000125747245812,-6.44128759427e-05,0.289877230168,-0.0283706040518,0.00286657732058,0.0,461.13012029755345,461.0503815566238,462.25462807149484,460.1361775618477
0.18,-1.70895191875e-05,-2.07870110873e-05,10.0338405064,6.28123847834,0.000675009398338,0.0,-0.000360859854174,-0.000730760196161,0.325345455321,-0.0150880218382,0.0126020348236,0.0,416.0584104813117,416.9096657733921,414.9728304006655,416.13683416075884
0.23999999999999996,-5.83090543713e-05,-0.000112174805744,10.0582927194,6.28053854067,0.00219536007241,0.0,-0.00114866115081,-0.00240405925594,0.489671332799,-0.00557505500656,0.043073612311,0.0,455.90737050913606,458.3352647295056,456.4784323053933,457.23692779306475
0.3,-0.000194878150395,-0.000323808026617,10.094860789,6.28007544961,0.00551745658967,0.0,-0.00377450388369,-0.00469848730043,0.729140842374,-0.0123918021153,0.0726570498821,0.0,478.20032051100213,480.4498750730438,479.73427100658904,479.2165848265907
0.36000000000000004,-0.000557885980524,-0.000675577464722,10.1424336515,6.27910871512,0.0103957084763,0.0,-0.0088193329015,-0.00711618802396,0.856530171086,-0.024845018321,0.094583142991,0.0,445.551344956531,447.34524944910953,446.20894920525484,445.1913710281008
0.4200000000000001,-0.00130318922539,-0.00118477031025,10.1950540128,6.27759644232,0.0159784953448,0.0,-0.016548862029,-0.00999675595417,0.89744320451,-0.0259333752297,0.0897834528037,0.0,418.64049506583683,418.23060850066406,418.6365596589378,418.5417089634047
0.48000000000000015,-0.00266964815984,-0.00191397934322,10.2532478897,6.27591600923,0.0212535660852,0.0,-0.029577152043,-0.0144848336326,1.04221997745,-0.0325152192152,0.0839009737321,0.0,452.30649351357687,451.83882242357254,451.6994188053143,451.1681884864348
0.5400000000000001,-0.00501904643029,-0.00298054627351,10.3239878091,6.27376488404,0.0268243284212,0.0,-0.0494123180731,-0.0213256863152,1.31548539374,-0.0435364000034,0.106477785882,0.0,489.20044163206643,490.8846734987146,490.28831947367144,489.4684303387311
0.6000000000000002,-0.00855878343403,-0.00446287196596,10.4057478682,6.27131061026,0.0339345425422,0.0,-0.0692656208847,-0.0283396107032,1.40971456842,-0.0361027438931,0.135511972492,0.0,435.1332392489434,437.56920708748703,437.1387410495314,437.7567663793022
0.6600000000000003,-0.0133429892279,-0.0063808728105,10.4903928813,6.26894505822,0.0417846097728,0.0,-0.0909090037035,-0.0357907879887,1.41175378922,-0.0470730550572,0.11930107633,0.0,407.2381255905786,405.8029223148549,407.6114457814017,406.6289975030695
0.7200000000000003,-0.0198260971737,-0.00888021759405,10.5812764391,6.26615552243,0.0491233950566,0.0,-0.126036506384,-0.0478463009205,1.6173847362,-0.0453556239819,0.127738303716,0.0,470.78256263430416,471.44744118136765,471.65404870859174,471.7855109822177
0.7800000000000004,-0.028628272327,-0.0121807014773,10.6851615318,6.26332735215,0.0570792521359,0.0,-0.168298238037,-0.0624980600496,1.84505327302,-0.0509575728797,0.140869813521,0.0,478.81881547257547,479.83133885510006,477.9792198234083,477.5509673271411
0.8400000000000004,-0.039832285248,-0.0163153380439,10.7970369231,6.26003597625,0.0657136886171,0.0,-0.205960251733,-0.0756145811825,1.88400377961,-0.0640865211655,0.149372911415,0.0,420.31057363052827,421.0673617406924,421.74796073220165,420.6102730959892
0.9000000000000005,-0.0538372025723,-0.021433155388,10.9168229919,6.25707227013,0.0743810635405,0.0,-0.261908864453,-0.0953662958571,2.10838689767,-0.0298109076889,0.1321704613,0.0,478.9779877451643,477.68572259071567,477.80790213410535,480.4120246049172
0.9600000000000005,-0.0712995970901,-0.0277619655816,11.0486521706,6.25604403475,0.0818645241577,0.0,-0.321028156355,-0.115734257327,2.28549809264,0.000534654681387,0.102530903238,0.0,466.8900959974939,464.5848647788928,464.52928592441975,466.9026771208767
1.0200000000000005,-0.0923751646214,-0.0352975469096,11.1899098451,6.25592845827,0.0879807585649,0.0,-0.382127820232,-0.135446578408,2.42274069375,-0.00736910660598,0.100723678935,0.0,454.7599244375156,454.6238965928519,454.5966816426285,453.9629756436274
1.0800000000000005,-0.117366952424,-0.0440557540442,11.3406990032,6.25509826843,0.0940313431148,0.0,-0.451586422442,-0.156547934128,2.60308907442,-0.0317065145823,0.101080617263,0.0,467.7454244861896,467.7814537935849,469.7727890348225,467.8819578793284
1.1400000000000006,-0.146547757957,-0.0540693808649,11.5010450852,6.2534022256,0.10051830676,0.0,-0.521756486375,-0.17742124009,2.74136588194,-0.0221510254971,0.119384500539,0.0,456.0854367430009,457.5547341811087,455.9190974234698,456.68169707691186
1.2000000000000006,-0.180213343359,-0.0654072066699,11.6709272284,6.25243942333,0.107775465166,0.0,-0.601206137963,-0.200618051589,2.92081357724,-0.00600979371653,0.123914915455,0.0,469.6332243628547,469.9968135903748,469.35618224170196,470.60730326111377
1.2600000000000007,-0.218354301974,-0.078025405159,11.8473524611,6.25178293239,0.115376462131,0.0,-0.67084966722,-0.220027929957,2.95981970906,-0.0232944527504,0.131708461051,0.0,426.5298527876915,427.21023618459645,428.1791377859987,426.7062036457981
